531,新恐怖宠物店,秋乃茉莉,神鬼|高清单行
533,神之水滴,亚树直|冲本秀,竞技
534,七夕之国,岩明均,神鬼
538,美人坂女子高校,横山真由美,爱情
539,炸弹情人B-Shock,中野纯子,爱情
540,可爱X男孩,立野真琴,爱情
541,急冻妈妈,富泽千夏,欢乐向|生活
542,宠物爱人,小川弥生,爱情
544,顶尖淑女,齐藤千穗,爱情
551,狂野天使,高田理惠,爱情
553,恋爱平行线,小林俊彦,爱情
559,AI 骇客任务,坂本あきら,冒险|科幻
565,恶魔爱神,新条真由,爱情|魔法
572,烈爱伤痕,一条由香莉,爱情
574,机工魔术士,河内和泉,魔法|后宫
585,药王,为我井彻|明治定何,神鬼
586,美少年进化论,はるぇるぽん,欢乐向
587,羔羊之歌,冬目景,校园|恐怖
589,蓝兰岛漂流记,藤代健,欢乐向|后宫
592,流氓蛋糕店,窪之内英策,欢乐向|生活
593,零王,浅井信悟,冒险|侦探
596,致命病毒,外薗昌也,恐怖|悬疑|高清单行
602,翼神传说,百濑武昭,科幻|机战
606,天使改造计划,一条由香莉,爱情
607,狂热电器店,栗桥伸佑,欢乐向|宅系
610,优质情人,相原实贵,爱情
614,恶魔狩-寂灭之圣颂歌篇,戶土野正內郎,西方魔幻
622,极乐青春曲棍球部,森永爱,欢乐向|高清单行
624,DOKI DOKI 心跳症候群,茜虎彻,欢乐向|后宫
625,烈火之炎,安西信行,冒险|热血|高清单行
635,美食猎人双雷传,小川悦司,冒险|竞技
637,小恶魔cafe,织田绮,爱情
638,蝴蝶效应,相川有,神鬼|伪娘
640,进化密码·失控的DNA,佐木飛朗斗|岡田鲷,冒险|科幻
642,伊手高中柔道部,森泰士(モリタイシ),欢乐向|竞技|高清单行
653,未确认少年外堂,冈野刚,冒险
659,梦想一世情,高屋奈月,神鬼
661,迷狐怪童,植芝理一,爱情|神鬼
662,梦喰见闻,真柴真,神鬼|恐怖
664,月光,沈莲芳,爱情|音乐舞蹈
680,火凤燎原,陈某,冒险|历史|战争|高清单行
682,水舞天使,都筑摄理,爱情
685,佛zone,武井宏之,冒险|高清单行
686,花样男子,神尾叶子,爱情|校园|高清单行
689,丑八怪女友,前川一夫,欢乐向|爱情
693,恶魔的心,西川秀明,冒险
695,神无,桐嶋たける,冒险|魔法
701,女子神学院大冒险,千明太郎,后宫
712,微热少女,宮坂香帆,爱情
713,无限之住人,沙村广明,格斗|高清单行
714,冬蔷薇姬,藤崎真绪,爱情
725,神灭领域,三部敬(三部けい),冒险
727,天国来的简讯,小田三月,爱情
738,攻壳机动队MMI,士朗正宗,冒险|科幻
740,攻壳机动队,士朗正宗,冒险|科幻
743,H3学园,高田理惠,爱情|校园
757,纯爱可怜狂想曲,藤崎真绪,爱情
772,吸血天使,涩泽工房,神鬼|后宫
774,灵感商法公司,秋乃茉莉,欢乐向|神鬼
776,零之使魔,望月奈奈,冒险|魔法|后宫|轻小说
783,吸血鬼与十字架,池田晃久,神鬼|后宫
785,PP爱起飞,藤田和子,爱情
786,破天荒游戏,远藤海成,冒险|魔法
789,妖裔特警,中村惠理加,冒险|神鬼
790,妖魔同邻足洗邸,みなぎ得一,冒险|神鬼
791,贰灵转校生,真壁太阳,冒险|神鬼
800,地支忍者,高田慎一郎,冒险
813,爱情白痴,铃木由美子,爱情
814,爱情不结晶,宫内沙矢,爱情
819,破坏王,刃森尊,欢乐向|格斗|高清单行
822,皇家国教骑士团,平野耕太,冒险|格斗|高清单行
823,阿拉蕾,鸟山明,欢乐向|高清单行
824,漂流教室,楳图一雄,冒险|高清单行
825,家庭教师REBORN!,天野明,格斗
826,神风,士贵智志,冒险
829,海盗王子,宇野比吕士,冒险
831,幻影剧场,齐藤千穗,爱情
833,虎之书,手冢治虫,冒险
843,CLANNAD,みさき树里,爱情|生活
852,恋爱起跑线,藤原佳子,爱情
854,贤者之石,竹内未来,冒险
870,伪装男孩的我,嶋木明子(嶋木あこ),校园
876,AGIRLS 似曾相识,玉越博幸|板桥雅弘,爱情|校园
877,噬魂师,大久保笃,冒险|魔法|神鬼
891,北斗神拳,原哲夫,格斗|高清单行
894,胭脂错,游圭秀,爱情
901,白龙,衣谷游,冒险
905,傀儡,高桥明,冒险
919,黑神,朴晟佑|林达永,冒险
923,源氏今生月下情,嶋木明子(嶋木あこ),爱情
925,碧奇魂,高田裕三,冒险|神鬼
926,东京爱情物语,嶋木明子(嶋木あこ),爱情
931,爱美大作战,金津久美,爱情
932,神TO战国生徒会,高田亮介,冒险|神鬼
942,恶魔美女,冬木琉璃香,爱情
954,AI少女,外薗昌也,冒险|科幻|爱情
959,非常家庭,北条司,爱情|生活|伪娘|高清单行
962,傻气猫耳娘,桑原笑笑笑,欢乐向|萌系
963,反町是个罗汉脚,有川祐,欢乐向
967,烈爱罪人,北川美幸,爱情
970,苍天之拳,武论尊|原哲夫,格斗|高清单行
975,呼声的去向,羽柴麻央,爱情|校园
979,魔炮使者黑姬,片仓·M·政宪,冒险
983,丽人蛮,游閨秀,爱情
989,真假公主,依欢,冒险
990,K2吻杀,李荣有,爱情
991,花纤,林青慧,爱情
993,掰掰演剧社,高桥ゆたか,欢乐向|校园
998,万祝,望月峰太郎,冒险
999,变虫人,藤崎圣人,冒险|科幻
1001,白色恋物语,阿倍野茶子,爱情
1006,死灵猎人,平井和正|梁庆一,格斗|神鬼
1007,螺旋公主朵莉丝,原田将太郎,冒险
1009,浮云桃刃传,幸崎えん,冒险
1017,工作狂人,安野梦洋子,生活|励志|职场
1018,秋蝉鸣泣之时·解 罪灭篇,龙骑士07|铃罗木かりん,恐怖|悬疑
1028,kiss明星王子,志贺乃夷织,爱情
1035,恶魔当铺,大桥薰,魔法|高清单行
1037,限制级杀手,タマちく(春辉／一条マサヒデ)|春辉,欢乐向|职场|搞笑
1039,秋蝉鸣泣之时 绵流篇,龙骑士07,侦探
1041,恶质情人别使坏,门城市真纪,爱情
1044,地上最强新娘,大高忍,欢乐向|后宫|高清单行
1049,奇迹少年,能条纯一,冒险|科幻
1062,星月幻境,依欢,冒险
1065,爱上多金小帅哥,斗田惠美,爱情
1072,千一夜之键,齐藤千穗,爱情
1081,妖精的尾巴,真岛浩,冒险|魔法
1089,死神侦探与幽灵学园,齐藤岬,侦探
1091,好想告诉你,椎名轻穗,爱情|高清单行
1102,骑士公主,岑小京,爱情
1105,NEEDLESS,今井神,冒险
1115,Diablo,大桥薰|楠桂,魔法
1116,电脑情人梦,赤松健,爱情|后宫
1120,地狱游戏,河岛正,冒险
1128,等待爱情,真崎念子,爱情
1147,恋爱风波,玉越博幸,爱情|后宫
1149,再生英雌凌,上田伦子,冒险
1154,交响情人梦,二之宫知子,爱情|音乐舞蹈|高清单行
1158,天使机甲队,剑佑介,科幻|后宫|机战
1159,妖精之风,宮下未紀,冒险|百合
1186,黄金兽传说,高河弓|沢田一,冒险
1193,王牌大侦探,関崎俊三,欢乐向|侦探|职场
1200,空谈师,篠房六郎,冒险|科幻
1209,心跳曼波,志贺乃夷织,爱情
1221,X杀手,东城麻美,格斗
1225,美女恐龙妹,楠桂,欢乐向
1228,恶魔人启示录,永井豪|衣谷游,冒险
1247,焚月,林青惠,爱情
1249,山田一家物语,森永爱,欢乐向
1254,圣传少女银娜斯ARCANA,李昭映,冒险
1259,扮装游戏,荣羽弥,爱情
1260,天才整形师,佐藤诚,职场
1261,Shook Up ,广江礼威,冒险|科幻
1264,竹剑少女,五十岚あぐり|土塚理弘,竞技|萌系
1267,蝶子小姐,吉原由起,欢乐向|爱情
1275,大剑,八木教广,格斗
1277,风之圣痕,山门敬弘,神鬼
1285,魔物特搜员,极乐院樱子,侦探|神鬼
1286,H2O,黄淑智,爱情|校园
1294,守护甜心,PEACH-PIT,魔法|高清单行
1295,真田十勇士,霜月灰吏,格斗
1301,飞翔于天际的邪眼,藤田和日郎,科幻
1306,复活女神,秋里和国,科幻
1308,纽约纽约,罗川真里茂,爱情|耽美
1311,人鱼系列,高桥留美子,冒险|高清单行
1315,墨攻,森秀树,冒险|历史|战争|高清单行
1318,团长小妹大,小野寺浩二,欢乐向
1321,爱天使,田丸浩史,欢乐向|爱情
1323,爱的省钱大作战,まりお金田,欢乐向|后宫
1327,修罗之刻,川原正敏,冒险|格斗|高清单行
1332,甜蜜老师,水谷京子,爱情
1335,风之谷,宫崎骏,冒险
1337,侠义少年王,沢田博文,冒险
1342,怪医黑杰克,手冢治虫,冒险|生活
1346,我的爷爷是少年侦探,井上喜久,欢乐向|侦探
1347,丑陋美世界,森见明日,冒险|爱情
1351,头文字D,重野秀一,竞技|高清单行
1352,沙梦,南宫燠,魔法
1354,刃牙II,板垣惠介,格斗
1358,荒川爆笑团,中村光,欢乐向
1360,刃牙I,板垣惠介,格斗|高清单行
1363,赤河恋影,筱原千绘,爱情
1365,初恋限定,河下水希,爱情|校园
1368,魔法少年Ⅹ少女,石田敦子,科幻|伪娘
1373,铁腕女警,结城正美,格斗
1375,兽神演武,荒川弘,冒险
1378,银座夜天使,雅亞公,职场
1383,PRISM ARK,佚名,科幻
1388,红 kure-nai,片山宪太郎|山本大和(山本ヤマト),冒险|萌系
1390,消极的快乐 电锯的边缘,泷本龙彦,科幻
1397,信蜂,浅田弘幸,魔法
1399,天才麻将少女,小林立,竞技|百合
1404,热风海陆TheRising,藤真拓哉,冒险
1405,神样家族,桑岛由一|たぱり,欢乐向|爱情
1407,花丸幼儿园,勇人,欢乐向|治愈
1409,海猫鸣泣之时 宴,平こさか,欢乐向|四格
1410,魔王奶爸,田村隆平,欢乐向|格斗
1414,滑头鬼之孙,椎桥宽,神鬼
1415,圣子到,梅泽春人,欢乐向|格斗
1417,恶魔辩护,梁庆一|尹仁完,格斗|高清单行
1427,某科学的超电磁炮,镰池和马|冬川基,魔法|百合|轻小说
1428,铳梦,木城幸人(木城雪户),格斗|科幻|高清单行
1429,食梦者,小畑健|大场鸫,热血|职场
1430,美食的俘虏,岛袋光年,格斗|美食
1431,GTO湘南14日,藤泽亨,欢乐向|高清单行
1432,Burning_Hell,梁庆一|尹仁完,冒险
1434,最强会长黑神,晓月あきら(晓月明)|西尾维新,校园
1435,SBR飙马野郎,荒木飞吕彦,竞技
1441,新网球王子,许斐刚,竞技
1442,噬谎者,迫稔雄,冒险|悬疑|高清单行|颜艺
1443,血色星期一,龙门谅|惠广史(恵広史),冒险|悬疑
1444,337应援男,久保美津郎,爱情
1447,天元突破 红莲螺岩,森小太郎,科幻|机战
1448,天元突破红莲之眼 螺旋少年谭,琢磨朋正,冒险|科幻|机战
1455,偶像大师：relations,上田梦人,萌系|音乐舞蹈
1461,仁医JIN,村上纪香,冒险|职场|高清单行
1464,风云2电影漫画版,马荣成,格斗
1474,白昼之雨,古谷实,生活|励志|高清单行
1478,吸血鬼与十字架_第2季,池田晃久,神鬼|后宫
1479,悠久之翼,雅树里,爱情
1481,神太刀女,为我井彻|タスクオーナ,冒险|格斗
1482,海猫鸣泣之时EP1,龙骑士07|夏海ケイ,魔法|悬疑
1483,海猫鸣泣之时EP3,龙骑士07|夏海ケイ,魔法|悬疑
1484,海猫鸣泣之时EP4,龙骑士07|宗一郎,魔法|悬疑
1485,海猫鸣泣之时EP2,龙骑士07|铃木次郎,魔法|悬疑
1492,革神语,渡濑悠宇,冒险
1493,学生会的一己之见,葵せきな|10mo,欢乐向|校园|后宫
